检测时间记录 - 1.mp4
开始时间: 2026-03-25 19:48:18.024
--------------------------------------------------------------------------------
帧号         时间戳                            检测耗时(ms)       
373        2026-03-25 19:48:45.243        68.14          
374        2026-03-25 19:48:45.312        67.62          
375        2026-03-25 19:48:45.381        45.08          
376        2026-03-25 19:48:45.429        70.11          
377        2026-03-25 19:48:45.501        45.52          
378        2026-03-25 19:48:45.548        62.54          
379        2026-03-25 19:48:45.614        72.59          
380        2026-03-25 19:48:45.688        68.18          
381        2026-03-25 19:48:45.758        99.50          
382        2026-03-25 19:48:45.861        92.19          
383        2026-03-25 19:48:45.955        73.25          
384        2026-03-25 19:48:46.030        69.31          
385        2026-03-25 19:48:46.102        85.23          
386        2026-03-25 19:48:46.189        77.82          
387        2026-03-25 19:48:46.269        66.34          
388        2026-03-25 19:48:46.337        57.48          
389        2026-03-25 19:48:46.397        84.03          
390        2026-03-25 19:48:46.483        76.00          
391        2026-03-25 19:48:46.562        82.07          
392        2026-03-25 19:48:46.648        64.83          
393        2026-03-25 19:48:46.715        53.69          
394        2026-03-25 19:48:46.770        58.78          
395        2026-03-25 19:48:46.830        72.74          
396        2026-03-25 19:48:46.908        68.48          
397        2026-03-25 19:48:46.979        89.45          
398        2026-03-25 19:48:47.070        69.78          
399        2026-03-25 19:48:47.142        64.73          
400        2026-03-25 19:48:47.210        48.83          
401        2026-03-25 19:48:47.261        56.76          
402        2026-03-25 19:48:47.320        69.21          
403        2026-03-25 19:48:47.392        74.40          
404        2026-03-25 19:48:47.474        86.10          
405        2026-03-25 19:48:47.562        56.59          
406        2026-03-25 19:48:47.620        63.85          
407        2026-03-25 19:48:47.692        44.16          
408        2026-03-25 19:48:47.739        52.23          
409        2026-03-25 19:48:47.794        56.92          
410        2026-03-25 19:48:47.854        45.10          
411        2026-03-25 19:48:47.901        68.45          
412        2026-03-25 19:48:47.972        76.31          
413        2026-03-25 19:48:48.052        55.32          
414        2026-03-25 19:48:48.108        70.78          
415        2026-03-25 19:48:48.182        88.04          
416        2026-03-25 19:48:48.277        76.64          
417        2026-03-25 19:48:48.355        52.23          
418        2026-03-25 19:48:48.409        89.76          
419        2026-03-25 19:48:48.500        57.43          
420        2026-03-25 19:48:48.561        66.48          
421        2026-03-25 19:48:48.630        64.32          
422        2026-03-25 19:48:48.699        87.92          
423        2026-03-25 19:48:48.791        53.91          
424        2026-03-25 19:48:48.847        63.87          
425        2026-03-25 19:48:48.912        70.60          
426        2026-03-25 19:48:48.985        55.08          
427        2026-03-25 19:48:49.044        72.78          
428        2026-03-25 19:48:49.118        82.78          
429        2026-03-25 19:48:49.203        80.18          
430        2026-03-25 19:48:49.286        63.09          
431        2026-03-25 19:48:49.351        69.93          
432        2026-03-25 19:48:49.423        70.85          
433        2026-03-25 19:48:49.498        72.89          
434        2026-03-25 19:48:49.573        62.15          
435        2026-03-25 19:48:49.637        69.27          
436        2026-03-25 19:48:49.710        64.62          
437        2026-03-25 19:48:49.777        78.86          
438        2026-03-25 19:48:49.859        60.58          
439        2026-03-25 19:48:49.922        62.50          
440        2026-03-25 19:48:49.986        46.59          
441        2026-03-25 19:48:50.034        38.28          
442        2026-03-25 19:48:50.077        71.98          
443        2026-03-25 19:48:50.156        48.13          
444        2026-03-25 19:48:50.207        74.28          
445        2026-03-25 19:48:50.282        64.50          
446        2026-03-25 19:48:50.348        67.38          
447        2026-03-25 19:48:50.417        46.32          
448        2026-03-25 19:48:50.465        74.09          
449        2026-03-25 19:48:50.541        73.02          
450        2026-03-25 19:48:50.617        83.36          
451        2026-03-25 19:48:50.703        66.39          
452        2026-03-25 19:48:50.774        82.93          
453        2026-03-25 19:48:50.860        65.13          
454        2026-03-25 19:48:50.927        59.39          
455        2026-03-25 19:48:50.988        69.43          
456        2026-03-25 19:48:51.060        74.41          
457        2026-03-25 19:48:51.140        77.92          
458        2026-03-25 19:48:51.221        62.02          
459        2026-03-25 19:48:51.284        69.59          
460        2026-03-25 19:48:51.356        46.39          
461        2026-03-25 19:48:51.404        53.05          
462        2026-03-25 19:48:51.460        88.65          
463        2026-03-25 19:48:51.550        70.79          
464        2026-03-25 19:48:51.630        59.49          
465        2026-03-25 19:48:51.699        36.16          
466        2026-03-25 19:48:51.737        63.99          
467        2026-03-25 19:48:51.814        80.67          
468        2026-03-25 19:48:51.896        50.76          
469        2026-03-25 19:48:51.950        48.37          
470        2026-03-25 19:48:52.000        62.87          
471        2026-03-25 19:48:52.065        54.32          
472        2026-03-25 19:48:52.124        78.12          
473        2026-03-25 19:48:52.206        76.17          
474        2026-03-25 19:48:52.294        65.03          
475        2026-03-25 19:48:52.363        63.08          
476        2026-03-25 19:48:52.432        52.32          
477        2026-03-25 19:48:52.488        72.41          
478        2026-03-25 19:48:52.561        73.98          
479        2026-03-25 19:48:52.639        79.98          
480        2026-03-25 19:48:52.722        82.04          
481        2026-03-25 19:48:52.808        76.16          
482        2026-03-25 19:48:52.888        67.55          
483        2026-03-25 19:48:52.960        68.71          
484        2026-03-25 19:48:53.029        55.34          
485        2026-03-25 19:48:53.086        84.23          
486        2026-03-25 19:48:53.174        67.37          
487        2026-03-25 19:48:53.244        78.27          
488        2026-03-25 19:48:53.327        77.54          
489        2026-03-25 19:48:53.407        76.62          
490        2026-03-25 19:48:53.485        59.49          
491        2026-03-25 19:48:53.547        74.49          
492        2026-03-25 19:48:53.625        66.92          
493        2026-03-25 19:48:53.693        80.12          
494        2026-03-25 19:48:53.776        70.43          
495        2026-03-25 19:48:53.851        55.54          
496        2026-03-25 19:48:53.910        71.99          
497        2026-03-25 19:48:53.986        52.37          
498        2026-03-25 19:48:54.041        72.46          
499        2026-03-25 19:48:54.117        48.04          
500        2026-03-25 19:48:54.170        77.04          
501        2026-03-25 19:48:54.248        62.46          
502        2026-03-25 19:48:54.315        64.55          
503        2026-03-25 19:48:54.381        107.16         
504        2026-03-25 19:48:54.490        53.96          
505        2026-03-25 19:48:54.550        68.58          
506        2026-03-25 19:48:54.622        57.06          
507        2026-03-25 19:48:54.683        52.92          
508        2026-03-25 19:48:54.738        66.79          
509        2026-03-25 19:48:54.807        65.81          
510        2026-03-25 19:48:54.877        76.13          
511        2026-03-25 19:48:54.955        63.01          
512        2026-03-25 19:48:55.025        61.34          
513        2026-03-25 19:48:55.090        72.32          
514        2026-03-25 19:48:55.164        53.96          
515        2026-03-25 19:48:55.219        57.13          
516        2026-03-25 19:48:55.279        71.07          
517        2026-03-25 19:48:55.353        67.82          
518        2026-03-25 19:48:55.423        67.62          
519        2026-03-25 19:48:55.494        67.30          
520        2026-03-25 19:48:55.562        54.79          
521        2026-03-25 19:48:55.623        79.68          
522        2026-03-25 19:48:55.707        73.84          
523        2026-03-25 19:48:55.782        83.10          
524        2026-03-25 19:48:55.869        63.94          
525        2026-03-25 19:48:55.935        56.99          
526        2026-03-25 19:48:55.993        78.77          
527        2026-03-25 19:48:56.075        71.91          
528        2026-03-25 19:48:56.157        102.61         
529        2026-03-25 19:48:56.264        80.03          
530        2026-03-25 19:48:56.347        68.74          
531        2026-03-25 19:48:56.417        69.74          
532        2026-03-25 19:48:56.491        94.81          
533        2026-03-25 19:48:56.590        71.53          
534        2026-03-25 19:48:56.670        67.28          
535        2026-03-25 19:48:56.747        52.56          
536        2026-03-25 19:48:56.803        73.52          
537        2026-03-25 19:48:56.878        67.67          
538        2026-03-25 19:48:56.948        56.00          
